ADRESA;MESTO;x;y;FIRMA;NAZEV;SUMVYMERU;SUMOBZSJ01;COUNT
Tkalcovská 869/1, Brno;Brno;16.627902299999999;49.200412999999998;AHOLD Czech Republic, a. s.;;116.9716000000000200;10266;9
ul. Komenského, Boskovice;Boskovice;16.654700699999999;49.489695599999997;AHOLD Czech Republic, a. s.;;15862.4275999999990000;18165;32
Petra Køivky 1a, Brno;Brno;16.559350100000000;49.175914599999999;AHOLD Czech Republic, a. s.;;82.6818000000000100;4345;2
Milady Horákové 24, Èeské Budìjovice;Èeské Budìjovice;14.440706000000000;48.980190299999997;Billa, s.r.o.;Filiálka è. 309;3562.2081999999996000;2447;19
Oceláøská 2420/2a, Praha;Praha;14.488514900000000;50.104045999999997;AHOLD Czech Republic, a. s.;;111.8284999999999900;5271;4
Kpt. Jaroše 1136, Tøebíè;Tøebíè;15.885865300000001;49.223652500000000;AHOLD Czech Republic, a. s.;;28.0660999999999990;6188;1
Ústecká 1933, Dìèín;Dìèín;14.201541600000001;50.772136099999997;Lidl Èeská republika, v.o.s.;;10.0040000000000000;3;1
Husovo nám. 66, Beroun;Beroun;14.074496900000000;49.964356799999997;AHOLD Czech Republic, a. s.;;10464.5972000000000000;14610;42
Nádraní 2590, Písek;Písek;14.145112400000000;49.296506500000000;Tesco Stores ÈR, a.s.;Hypermarket Tesco Písek;5054.1004000000003000;1619;12
Albertova 4018/5, Kromìøí;Kromìøí;17.386326000000000;49.288613099999999;Penny Market, s.r.o.;;82.0794000000000070;4448;1
Hluèínská, Opava;Opava;17.925372500000002;49.944724000000001;Kaufland Èeská republika, v.o.s.;OD Kaufland Opava;2948.9766999999997000;5636;11
Prùmyslová 2565, Písek;Písek;14.126080099999999;49.321576399999998;Kaufland Èeská republika, v.o.s.;OD Kaufland Písek;27316.2033999999880000;7292;72
Vídeòská 815/89a, Brno;Brno;16.597539999999999;49.176593500000003;AHOLD Czech Republic, a. s.;;146.3093000000000100;2910;3
Radlická 233/1b, Praha;Praha;14.401152500000000;50.072147600000001;Tesco Stores ÈR, a.s.;Hypermarket Tesco Praha Novı Smíchov;201.4432999999999900;9513;8
Støelnièná 1660, Praha 8;Praha;14.459666700000000;50.125326999999999;AHOLD Czech Republic, a. s.;;83.5245000000000030;251;2
Lochotínská 1108/18, Plzeò;Plzeò;13.376945700000000;49.753909999999998;Kaufland Èeská republika, v.o.s.;OD Kaufland Plzeò;244.0159999999999900;4036;3
Lidická 1095/24, Plzeò;Plzeò;13.375147800000001;49.767034600000002;Penny Market, s.r.o.;;69.0181000000000040;266;2
Švehlova 1391/32, Praha;Praha;14.517188100000000;50.053281200000001;AHOLD Czech Republic, a. s.;;63.5730000000000000;1;1
Vítkovická 3278/3, Ostrava;Ostrava;18.280623800000001;49.828869999999988;Kaufland Èeská republika, v.o.s.;OD Kaufland Ostrava-Moravská Ostrava;112.4117999999999700;6722;7
Husova 622, Pøíbram;Pøíbram;13.997644200000000;49.692682800000000;Kaufland Èeská republika, v.o.s.;OD Kaufland Pøíbram;7101.9597000000003000;3622;12
Gerská 2004/2, Plzeò;Plzeò;13.366020000000001;49.772354300000003;AHOLD Czech Republic, a. s.;;31.8195000000000010;5109;1
Lidická 3047/50, Šumperk;Šumperk;16.984687099999999;49.964959200000003;Billa, s.r.o.;;20678.8109000000040000;19864;25
Lidická 854/35, Plzeò;Plzeò;13.373107299999999;49.767231700000004;AHOLD Czech Republic, a. s.;;77.2526000000000010;8100;2
Neštìmická 825/6, Ústí nad Labem;Ústí nad Labem;14.067638199999999;50.668077399999987;Penny Market, s.r.o.;Penny Market;793.3069000000000400;7231;7
Tìšínská 2912/36, Opava;Opava;17.914093999999999;49.934026799999998;Lidl Èeská republika, v.o.s.;;128.8661999999999900;3325;2
Smetanova, Vsetín;Vsetín;17.996282399999998;49.335546600000001;AHOLD Czech Republic, a. s.;;2595.0934999999999000;5211;7
Horská 571, Trutnov;Trutnov;15.894041400000001;50.578591899999999;Penny Market, s.r.o.;Penny Market;207.5480000000000000;5801;3
Poèernická 272/96, Praha;Praha;14.509561100000001;50.082935599999999;Billa, s.r.o.;;128.1988000000000100;4070;4
Cukrovarská 492/4, Vyškov;Vyškov;16.994175500000001;49.274826699999998;Kaufland Èeská republika, v.o.s.;OD Kaufland Vyškov;12805.8204000000040000;21049;36
Strojírenská 3581, Havlíèkùv Brod;Havlíèkùv Brod;15.601572600000001;49.605355199999998;AHOLD Czech Republic, a. s.;;14310.0022000000030000;5276;34
Riegerova 2386/56, Cheb;Cheb;12.378597100000000;50.070401500000003;Penny Market, s.r.o.;;6739.1846000000005000;6345;19
Veronské nám. 403, Praha 10;Praha;14.558864600000000;50.040592199999999;AHOLD Czech Republic, a. s.;;476.8031999999999500;13635;8
Brnìnská 360, Tøebíè;Tøebíè;15.895059000000000;49.214794099999999;Kaufland Èeská republika, v.o.s.;OD Kaufland Tøebíè;1220.6581000000003000;3569;5
Znojemská 1383, Tøebíè;Tøebíè;15.885108900000001;49.202793499999999;AHOLD Czech Republic, a. s.;INTERSPAR Tøebíè (hypermarket);1129.6882000000001000;319;3
U Bílého sloupu 2147, Litvínov;Litvínov;13.605248200000000;50.593304400000001;Lidl Èeská republika, v.o.s.;;1288.2742000000001000;0;2
Ondøíèkova 580/39, Praha 3;Praha;14.455631400000000;50.082046800000001;AHOLD Czech Republic, a. s.;;51.0101999999999980;16282;3
Sofijská 2/3, Dìèín;Dìèín;14.193184799999999;50.772418399999999;Billa, s.r.o.;;1044.8899000000001000;12075;11
Halasovo námìstí 805/5, Brno - Lesná;Brno;16.624007100000000;49.224050599999998;AHOLD Czech Republic, a. s.;;129.5441000000000100;10347;2
Dr. E. Beneše 641, Èeská Tøebová;Èeská Tøebová;16.440139800000001;49.911846399999988;Lidl Èeská republika, v.o.s.;;4995.2181000000000000;7160;12
Rokycanská 1385/130, Plzeò;Plzeò;13.437008199999999;49.745833599999997;Tesco Stores ÈR, a.s.;Extra Plzeò;5845.8216999999995000;7189;13
Prosecká 824/80, Praha;Praha;14.507202200000000;50.122130800000001;Penny Market, s.r.o.;;91.9071999999999890;8375;3
Svetlogorská 2767, Tábor;Tábor;14.685567799999999;49.390338900000003;AHOLD Czech Republic, a. s.;;2829.2625999999996000;12451;7
U Prefy 1708, Chotìboø;Chotìboø;15.666125299999999;49.715372799999997;Penny Market, s.r.o.;;9827.5864999999994000;7761;22
Jiráskova 1280, Mladá Boleslav;Mladá Boleslav;14.922481400000001;50.431631299999999;Penny Market, s.r.o.;;190.5669000000000000;6443;2
Olomoucká, Opava;Opava;17.881074300000002;49.933949899999988;Kaufland Èeská republika, v.o.s.;OD Kaufland Opava - Pøedmìstí;917.9827000000000200;2538;5
Kubíèkova 1080/6, Brno;Brno;16.518514600000000;49.220804000000001;Billa, s.r.o.;;2988.9156999999996000;16239;14
Bardìjovská 3268, Èeská Lípa;Èeská Lípa;14.547678599999999;50.688250400000001;AHOLD Czech Republic, a. s.;SPAR Èeská Lípa (supermarket);3419.7681000000002000;13834;17
Tuklatská 2104, Praha 10;Praha;14.499663099999999;50.078382699999999;AHOLD Czech Republic, a. s.;;133.7719999999999900;15206;4
Vídeòská tøída 684/69, Znojmo;Znojmo;16.058568699999999;48.845706700000001;AHOLD Czech Republic, a. s.;;2066.2823000000003000;4697;6
Konìvova 2502/250, Praha 3;Praha;14.497156900000000;50.091527199999987;AHOLD Czech Republic, a. s.;;53.3256000000000010;6744;2
Budìjovická 1667/64, Praha;Praha;14.449101199999999;50.043777300000002;Billa, s.r.o.;DBK;93.6020000000000040;2462;2
Zikova 736/1, Olomouc;Olomouc;17.255490099999999;49.577093400000003;AHOLD Czech Republic, a. s.;;40.2190000000000010;6304;2
Sobìslavská 3069, Tábor;Tábor;14.687498900000000;49.397218000000002;Lidl Èeská republika, v.o.s.;;72.2432000000000020;5;1
Táborská 111/1, Tøebíè;Tøebíè;15.871439900000000;49.223706999999997;Billa, s.r.o.;;5054.9278999999988000;6534;14
Kapitána Jaroše 836/66, Svitavy;Svitavy;16.478550400000000;49.743986100000001;Lidl Èeská republika, v.o.s.;;16983.9876000000000000;9021;26
Sladovní 113/1, Olomouc;Olomouc;17.277920399999999;49.603356899999987;Lidl Èeská republika, v.o.s.;;2939.6255000000006000;7746;17
Rudolická 1706/4, Most;Most;13.651253100000000;50.510652600000000;Tesco Stores ÈR, a.s.;Hypermarket Most;16.6542999999999990;0;1
Plhovská 2066, Náchod;Náchod;16.167318900000001;50.419108100000003;Lidl Èeská republika, v.o.s.;;285.4882000000000600;5043;4
Vavøenova 1172/12, Praha;Praha;14.427410699999999;50.024327900000003;Billa, s.r.o.;;68.6820000000000020;3234;2
Hradišská, Staré Mìsto;Staré Mìsto;17.450819400000000;49.075161600000001;AHOLD Czech Republic, a. s.;;9365.0209999999988000;10996;12
Uhelná 1896/2, Dìèín;Dìèín;14.197194000000000;50.770174599999997;AHOLD Czech Republic, a. s.;;1516.0473999999997000;6667;12
eletavská 1525/1, Praha 4 - Michle;Praha;14.453208300000000;50.049010000000003;AHOLD Czech Republic, a. s.;;126.8210000000000000;7132;2
Riegrova 1149, Jièín;Jièín;15.357352700000000;50.431935799999998;Lidl Èeská republika, v.o.s.;;1826.7161000000001000;547;4
B. Martinù 2097/30, Novı Jièín;Novı Jièín;18.001960499999999;49.585819099999988;Kaufland Èeská republika, v.o.s.;OD Kaufland Novı Jièín;5875.5356000000002000;8909;18
Husova 1058, Jièín;Jièín;15.362990900000000;50.435256500000001;Billa, s.r.o.;;804.8397999999999700;7338;8
Ašská 2393/8, Cheb;Cheb;12.370788900000001;50.084594699999997;Penny Market, s.r.o.;Penny Market;401.2696000000000300;4142;3
V Štíhlách 226, Praha;Praha;14.453509800000001;50.019368200000002;Lidl Èeská republika, v.o.s.;;8.2882999999999996;3;1
plukovníka Mráze 1182/24, Praha 10;Praha;14.543991999999999;50.050314899999996;AHOLD Czech Republic, a. s.;;227.0497000000000300;7928;6
Obráncù Míru 2427, Kladno;Kladno;14.129174100000000;50.134506799999997;AHOLD Czech Republic, a. s.;;333.3394000000000100;12522;5
Konìvova 1962/111, Praha;Praha;14.470845799999999;50.091260100000000;Lidl Èeská republika, v.o.s.;;168.1726999999999900;14923;5
Píseèná 5583, Chomutov;Chomutov;13.446422000000000;50.489193800000002;Lidl Èeská republika, v.o.s.;;2298.9206999999997000;4053;6
B. Nìmcové 960, Rokycany;Rokycany;13.593639100000001;49.734969900000003;AHOLD Czech Republic, a. s.;;20564.0393000000000000;12719;55
eletická 707/5, Litomìøice;Litomìøice;14.136799200000000;50.525967199999997;AHOLD Czech Republic, a. s.;;2620.4330000000000000;2907;10
Mladoboleslavská 3617, Mìlník;Mìlník;14.491567500000000;50.348609499999988;Lidl Èeská republika, v.o.s.;;1672.9030000000000000;401;8
Masarykovo námìstí 68, Jihlava;Jihlava;15.591042000000000;49.395379200000001;AHOLD Czech Republic, a. s.;;44.1137000000000010;3421;1
Èsl. armády 488, Hostivice;Hostivice;14.254604900000000;50.080746400000002;Lidl Èeská republika, v.o.s.;;812.9434000000000000;2977;4
Dr. Martínka 1617/10, Ostrava Hrabùvka;Ostrava;18.263645900000000;49.785133199999997;AHOLD Czech Republic, a. s.;;407.3939000000000300;25871;12
Ellerova 1291, Strakonice;Strakonice;13.913170700000000;49.260696400000000;Lidl Èeská republika, v.o.s.;;6993.2583000000004000;5296;25
Vìštínská 1516/17, Praha;Praha;14.369690500000001;49.986242300000001;Penny Market, s.r.o.;;618.7351999999999600;4761;7
Závodu míru 2058, Sokolov;Sokolov;12.664603100000001;50.172664599999997;Penny Market, s.r.o.;;991.6616999999998800;4516;5
Sobìslavská 3038, Tábor;Tábor;14.684545099999999;49.397116599999997;Tesco Stores ÈR, a.s.;Hypermarket Tábor;;;
Merhautova 1065/214, Brno - Èerná Pole;Brno;16.628106599999999;49.216134500000003;AHOLD Czech Republic, a. s.;;284.8317000000000100;14155;8
Èernokostelecká 2110/20, Øíèany;Øíèany;14.657571700000000;50.003800699999999;Lidl Èeská republika, v.o.s.;;117.7432000000000000;255;1
Kpt. Jaroše 375/31, Karlovy Vary;Karlovy Vary;12.840992399999999;50.226855800000003;AHOLD Czech Republic, a. s.;;195.5282000000000000;265;2
Vıchodní 1352, Staré Mìsto;Staré Mìsto;17.453031100000000;49.077171900000003;AHOLD Czech Republic, a. s.;;3475.8942999999999000;3780;6
Boeny Nìmcové 438, Okøíšky;Okøíšky;15.768257200000001;49.245750600000001;AHOLD Czech Republic, a. s.;;31429.4818000000010000;18805;59
Smila Osovského 199/3, Tøebíè;Tøebíè;15.883796900000000;49.215492500000003;Billa, s.r.o.;;65.3187999999999960;1690;4
námìstí 28. øíjna 1610/1, Hradec Králové;Hradec Králové;15.817707600000000;50.212980299999998;Tesco Stores ÈR, a.s.;OD Tesco Hradec Králové;82.1929000000000090;7848;4
Malešovská 1652, Praha 9;Praha;14.680442700000000;50.072289900000001;AHOLD Czech Republic, a. s.;;1614.0813999999998000;3126;6
U Šalamounky 2/2664, Praha 5;Praha;14.388612300000000;50.065584100000002;AHOLD Czech Republic, a. s.;;635.0497000000000300;14155;10
Radotínská 29, Èernošice;Èernošice;14.326446300000001;49.964244999999998;Penny Market, s.r.o.;;1244.6833999999999000;794;6
Dukelská 717/2, Jeseník;Jeseník;17.202923899999998;50.226895900000002;AHOLD Czech Republic, a. s.;;44.7605999999999970;655;1
Riegrovo nám. 59, Semily;Semily;15.334075300000000;50.602722900000003;AHOLD Czech Republic, a. s.;;5939.8152999999993000;5451;26
Slovenského národního povstání 1081, Chrudim;Chrudim;15.810596200000001;49.947639100000004;Kaufland Èeská republika, v.o.s.;OD Kaufland Chrudim;3527.0162999999998000;3464;8
Panenská 2181, Tachov;Tachov;12.635785300000000;49.796661299999997;Penny Market, s.r.o.;Penny Market;22896.4019000000010000;6295;40
Na hrázi 177/4, Praha;Praha;14.473687099999999;50.105100899999996;Billa, s.r.o.;;46.9917000000000020;3454;2
Brodská 496, Pøíbram;Pøíbram;13.998245799999999;49.666536499999999;AHOLD Czech Republic, a. s.;;10151.0548000000020000;4288;36
Praská 286, Písek;Písek;14.136188100000000;49.315523700000000;Penny Market, s.r.o.;;2247.2267999999999000;13315;11
Budìjovická 356/1a, Praha;Praha;14.443712900000000;50.050334399999997;Billa, s.r.o.;;49.9912000000000060;5776;4
Seifertova 532, Pøíbram;Pøíbram;13.997176899999999;49.675973599999999;Penny Market, s.r.o.;;83.8643000000000000;13033;3
námìstí Republiky 1400, Pardubice;Pardubice;15.776446900000000;50.037940100000000;Billa, s.r.o.;;387.2876000000000500;10518;10
Mukaøovského 2590/2, Praha;Praha;14.322801699999999;50.045320099999998;Tesco Stores ÈR, a.s.;Supermarket Tesco Praha Luka;;;
Holasická 1154/2, Opava;Opava;17.911618199999999;49.940652600000000;AHOLD Czech Republic, a. s.;;73.1709000000000030;12014;2
Rašínova tøída 1669, Hradec Králové;Hradec Králové;15.803418100000000;50.190459099999998;Tesco Stores ÈR, a.s.;Hypermarket Hradec Králové;2685.8031000000001000;4228;11
nám. Sítná 3106, Kladno;Kladno;14.101624500000000;50.136261900000001;AHOLD Czech Republic, a. s.;;200.3186999999999800;4431;3
Dr. E. Beneše 2871/5, Šumperk;Šumperk;16.975419400000000;49.963985100000002;AHOLD Czech Republic, a. s.;;13.3452000000000000;862;1
Masarykova 873, Valašské Meziøíèí;Valašské Meziøíèí;17.962839500000001;49.485229900000000;Tesco Stores ÈR, a.s.;Hypermarket Tesco Valašské Meziøíèí;7958.4382000000014000;7615;23
Cornovova 2, Brno;Brno;16.642625400000000;49.187944199999997;AHOLD Czech Republic, a. s.;;310.6596000000000100;9556;6
Štursova 1124/3, Olomouc;Olomouc;17.271884900000000;49.588445200000002;Kaufland Èeská republika, v.o.s.;OD Kaufland Olomouc;422.6357000000000400;2630;6
Polská 432, Trutnov;Trutnov;15.909092299999999;50.565383799999999;Lidl Èeská republika, v.o.s.;;5440.4526000000005000;13922;26
Jiráskova 5201/66, Jihlava;Jihlava;15.575676800000000;49.402780499999999;Lidl Èeská republika, v.o.s.;;1304.2278999999999000;7235;4
Sluneèní nám. 2567/8, Praha 5;Praha;14.341026700000000;50.050372499999987;AHOLD Czech Republic, a. s.;;90.2082999999999940;7093;4
U Cihláøe 3558, Havlíèkùv Brod;Havlíèkùv Brod;15.575619300000000;49.618313699999987;Penny Market, s.r.o.;;5604.9408000000003000;7525;18
Romitálova 1812/5, Blansko;Blansko;16.643156600000001;49.361851399999999;AHOLD Czech Republic, a. s.;;137.5029000000000100;5118;3
Budyšínská 1400/1, Liberec;Liberec;15.061419300000001;50.774532000000001;AHOLD Czech Republic, a. s.;;75.6475999999999970;3893;2
Horova 1223/1, Karlovy Vary;Karlovy Vary;12.869990800000000;50.231592499999998;AHOLD Czech Republic, a. s.;;87.3522000000000110;5558;2
Jana Zajíce 712, Pardubice;Pardubice;15.807630400000001;50.045492500000002;Penny Market, s.r.o.;;7387.1712000000025000;17294;39
Lipnická 2936/4, Pøerov;Pøerov;17.445839700000001;49.464210500000000;Kaufland Èeská republika, v.o.s.;OD Kaufland Pøerov;4469.9561999999996000;5965;17
B. Nìmcové 2148, Èeské Budìjovice;Èeské Budìjovice;14.471480700000001;48.967720000000000;Lidl Èeská republika, v.o.s.;;1554.4777999999999000;10364;12
Masarykova tøída 1950, Teplice;Teplice;13.835658100000000;50.649729499999999;Penny Market, s.r.o.;Penny Market;26.5818000000000010;1755;1
Jièínská 1350/3, Mladá Boleslav;Mladá Boleslav;14.937529899999999;50.411854400000003;AHOLD Czech Republic, a. s.;;17118.3580000000070000;9522;50
Havíøská 352/17, Ústí nad Labem;Ústí nad Labem;13.974535899999999;50.689881799999988;Tesco Stores ÈR, a.s.;Hypermarket Tesco Ústí nad Labem Všeboøi;8264.9212999999982000;7199;17
Plzeòská 724, Beroun;Beroun;14.046580600000000;49.952491100000003;Lidl Èeská republika, v.o.s.;;;;
U Høebèince 2510, Písek;Písek;14.165096900000000;49.296753899999999;AHOLD Czech Republic, a. s.;;15019.2253999999980000;5438;36
Višòová 3129, Most;Most;13.656044899999999;50.493518100000003;Penny Market, s.r.o.;Penny Market;1017.5542000000000000;10005;6
Èervené Vršky 2179, Benešov;Benešov;14.682335300000000;49.789466200000007;Lidl Èeská republika, v.o.s.;;2315.1792999999998000;3350;13
námìstí 28. dubna 1069/2, Brno;Brno;16.530274599999998;49.225635500000003;AHOLD Czech Republic, a. s.;;49.1343000000000030;1697;1
Lodská 399/26, Praha;Praha;14.423346400000000;50.130465200000003;Penny Market, s.r.o.;Penny Market;112.3024000000000100;7804;2
Stará Osada 3984/15, Brno - idenice;Brno;16.640372800000002;49.202387799999997;AHOLD Czech Republic, a. s.;;144.1811000000000100;7618;7
Spojovací 1345, Støíte Tøebíè;Tøebíè;15.890093900000000;49.201839000000000;AHOLD Czech Republic, a. s.;;12757.6972000000040000;4549;19
Kpt. Jaroše, Tøebíè;Tøebíè;15.885647000000001;49.224096199999998;AHOLD Czech Republic, a. s.;;2954.3586000000000000;6480;8
Novosedlická 3216, Teplice;Teplice;13.821808000000001;50.647065800000000;Lidl Èeská republika, v.o.s.;;592.9696000000000100;3798;8
Písecká 972/1, Plzeò;Plzeò;13.425846999999999;49.701059699999988;AHOLD Czech Republic, a. s.;;17276.7909000000000000;18047;45
Veselská 663, Praha;Praha;14.501274700000000;50.135053499999998;Tesco Stores ÈR, a.s.;Hypermarket Praha Letòany;398.4978999999999600;779;4
Slovenského národního povstání 1060, Chrudim;Chrudim;15.810408900000001;49.948909899999997;AHOLD Czech Republic, a. s.;;3296.6112000000003000;9946;16
Jeremiášova 486/1, Olomouc;Olomouc;17.247715899999999;49.575939200000001;Billa, s.r.o.;;2844.4899999999998000;3212;9
Novináøská 3178/6b, Ostrava;Ostrava;18.264165100000000;49.832731299999999;Tesco Stores ÈR, a.s.;Hypermarket Tesco Ostrava Futurum;349.4372000000000800;20459;12
Náchodská 2086/54, Praha;Praha;14.600768300000000;50.113043500000003;Penny Market, s.r.o.;Penny Market;138.3804000000000100;60;2
Fajtlova 1090/1, Praha 6;Praha;14.290475700000000;50.093491099999987;AHOLD Czech Republic, a. s.;;1553.3894999999998000;629;6
Plumlovská 4126, Prostìjov;Prostìjov;17.094002799999998;49.473048499999997;Penny Market, s.r.o.;;121.6666000000000200;6035;3
Lidická, Roztoky;Roztoky;14.384612400000000;50.161375799999988;Tesco Stores ÈR, a.s.;Hypermarket Tesco Roztoky;2133.3085000000001000;7693;12
Vršovická 1525/1a, Praha;Praha;14.444696400000000;50.066893600000000;Lidl Èeská republika, v.o.s.;;77.8327000000000030;9959;4
Riegrova 5030/23, Jablonec nad Nisou;Jablonec nad Nisou;15.164127300000001;50.731532199999997;Lidl Èeská republika, v.o.s.;;86.1020000000000040;4073;3
ikova 515, Trutnov;Trutnov;15.896631899999999;50.562638000000000;AHOLD Czech Republic, a. s.;;3632.3962000000001000;1433;10
Cíglerova 1139, Praha 9;Praha;14.558479400000000;50.105575100000003;AHOLD Czech Republic, a. s.;;393.6164000000000600;6887;8
Mukaøovského 1986/7, Praha 5;Praha;14.321112100000001;50.045082399999998;AHOLD Czech Republic, a. s.;;117.0984000000000000;9313;2
Nebušická 491, Praha 6;Praha;14.340065900000001;50.110061299999998;AHOLD Czech Republic, a. s.;;622.6343999999999100;4779;7
Vinohradská 2828/151, Praha 2;Praha;14.461403300000001;50.078136200000003;AHOLD Czech Republic, a. s.;;38.9431000000000010;348;1
Dukelská brána 25/7, Prostìjov;Prostìjov;17.112803899999999;49.472280400000002;Billa, s.r.o.;;135.5131000000000100;5986;2
Osvoboditelù 2700, Louny;Louny;13.799396900000000;50.355451199999997;AHOLD Czech Republic, a. s.;;1039.1552000000001000;1914;4
Ès. armády 499, Bohumín;Bohumín;18.347223100000001;49.906398200000012;AHOLD Czech Republic, a. s.;;988.6738000000000300;2515;9
Radimova 2322/40, Praha;Praha;14.366186400000000;50.087850499999988;Billa, s.r.o.;;218.0825999999999900;14778;7
U Jandovky 2, Vyškov;Vyškov;16.989382200000001;49.274504200000003;AHOLD Czech Republic, a. s.;;1208.0075000000002000;2153;2
Wolkerova 5546, Chomutov;Chomutov;13.407940500000000;50.460912600000000;Lidl Èeská republika, v.o.s.;;2401.6657999999998000;1209;5
Nádraní 1936/4, Karviná;Karviná;18.530605999999999;49.855706200000007;Penny Market, s.r.o.;;1454.2669999999998000;890;9
Vikova 1302/2, Praha 4;Praha;14.437550000000000;50.040873499999996;AHOLD Czech Republic, a. s.;;207.8186000000000000;11361;6
Soustrunická 489/6, Praha;Praha;14.537048499999999;50.105206499999987;Penny Market, s.r.o.;;288.6327000000000000;4759;9
Svitavská 2393/16b, Blansko;Blansko;16.643738599999999;49.356752399999998;Lidl Èeská republika, v.o.s.;;674.8378999999999900;93;1
Drahelická 2265, Nymburk;Nymburk;15.026392800000000;50.180019899999998;Penny Market, s.r.o.;Penny Market;6696.3311000000003000;15423;26
Lípová 664/2, Liberec;Liberec;15.059297800000000;50.765481800000003;Lidl Èeská republika, v.o.s.;;58.2644000000000020;2066;1
Stará cesta 91, Frıdek-Místek;Frıdek-Místek;18.342105199999999;49.675669199999987;AHOLD Czech Republic, a. s.;;261.5518999999999900;11110;4
Klicperovo námìstí 5, Chlumec nad Cidlinou;Chlumec nad Cidlinou;15.463400200000001;50.153509900000003;Penny Market, s.r.o.;;9542.4969000000001000;7906;21
Stránského 3033/28, Brno;Brno;16.567919300000000;49.212396899999987;Billa, s.r.o.;;526.8795000000001200;12621;14
Na Okrouhlíku 1707/25a, Hradec Králové;Hradec Králové;15.813323300000000;50.218444200000000;Lidl Èeská republika, v.o.s.;;5516.2001999999993000;12141;22
Masarykovo námìstí 1950, Pardubice;Pardubice;15.767240800000000;50.036428800000003;Tesco Stores ÈR, a.s.;Obchodní dùm Pardubice;160.1730000000000000;7342;1
Studentská 2215/2, ïár nad Sázavou;ïár nad Sázavou;15.941635200000000;49.565207099999988;Lidl Èeská republika, v.o.s.;;6133.7222000000020000;10291;14
Nádraní 1310, Strakonice;Strakonice;13.914133300000000;49.255715799999997;Billa, s.r.o.;;16814.9288000000020000;11148;49
Plzeòská 396, Králùv Dvùr;Králùv Dvùr;14.042138100000001;49.951141900000003;AHOLD Czech Republic, a. s.;;14591.2588000000000000;17404;47
Palackého tøída 2980/152, Brno;Brno;16.591667900000001;49.230497399999997;Lidl Èeská republika, v.o.s.;;146.2560000000000000;5560;2
Jantarová 3344/4, Ostrava;Ostrava;18.286715900000001;49.830704900000001;AHOLD Czech Republic, a. s.;;163.1079000000000000;1204;4
Moskevská 1999, Most;Most;13.643456100000000;50.505697599999998;Penny Market, s.r.o.;Penny Market;29.3874000000000000;3572;1
Ortenova 188, Kutná Hora;Kutná Hora;15.283744199999999;49.960918199999988;Kaufland Èeská republika, v.o.s.;OD Kaufland Kutná Hora;7395.7892000000011000;8260;21
Majerova 2525/7, Plzeò;Plzeò;13.374047800000000;49.727822900000000;Billa, s.r.o.;;22.5670000000000000;2428;1
Smetanova 1607, Rychnov nad Knìnou;Rychnov nad Knìnou;16.283864900000001;50.164411000000001;Penny Market, s.r.o.;Penny Market;17810.0574000000050000;11209;43
Dolní hejèínská, Olomouc;Olomouc;17.242668900000002;49.603330300000003;Penny Market, s.r.o.;;3281.3220000000001000;7208;14
Jeronımova 1750/21, Èeské Budìjovice;Èeské Budìjovice;14.481671800000001;48.973919199999997;Billa, s.r.o.;;148.8290000000000100;5919;3
Èimická 831/43, Praha;Praha;14.429959999999999;50.132200999999988;Lidl Èeská republika, v.o.s.;;;;
Papírnická 2570/3, Plzeò;Plzeò;13.386727499999999;49.736737299999987;Billa, s.r.o.;;60.2864000000000000;2065;2
Hviezdoslavova 1288/2, Brno;Brno;16.669229099999999;49.182545699999999;Lidl Èeská republika, v.o.s.;;466.1737000000000000;3748;3
Díly VI 5478, Zlín;Zlín;17.693222800000001;49.225313399999997;Lidl Èeská republika, v.o.s.;;6582.2351000000017000;19319;28
S. K. Neumanna 2819, Pardubice;Pardubice;15.778917800000000;50.026159999999997;Kaufland Èeská republika, v.o.s.;OD Kaufland Pardubice II.;1434.0191000000000000;12881;16
Tìšínská 1403, Ostrava;Ostrava;18.333233100000001;49.817494500000002;Penny Market, s.r.o.;Penny Market;2407.1417999999999000;10398;26
Gerská 2070/1, Plzeò;Plzeò;13.364863400000001;49.772926400000003;Lidl Èeská republika, v.o.s.;;109.9874000000000100;1788;3
Kbelská 919/31, Praha;Praha;14.510617900000000;50.123101100000000;Lidl Èeská republika, v.o.s.;;189.9995000000000100;71;4
Mariánská, Praha;Praha;14.437556400000000;50.020113799999997;AHOLD Czech Republic, a. s.;SPAR Lhotka (supermarket);21.3043000000000010;335;1
Kosmova 259/1, Brno;Brno;16.592686100000002;49.228128699999999;AHOLD Czech Republic, a. s.;;97.3374999999999910;8527;3
Högerova 1098/11, Praha 5;Praha;14.375808599999999;50.031998199999997;AHOLD Czech Republic, a. s.;;566.8741999999999700;6736;13
Pilnáèkova 436/11, Hradec Králové;Hradec Králové;15.839195500000001;50.217498499999998;Kaufland Èeská republika, v.o.s.;OD Kaufland Hradec Králové;1221.1579000000002000;10095;9
28. øíjna 1531, Pøelouè;Pøelouè;15.564423200000000;50.038120900000003;Penny Market, s.r.o.;;6148.2797999999984000;7424;26
Nebahovská 901, Prachatice;Prachatice;14.003767200000000;49.013856100000012;Penny Market, s.r.o.;;14432.8593000000000000;14837;54
Nákladní 3201, Teplice;Teplice;13.822640800000000;50.645489499999996;AHOLD Czech Republic, a. s.;;104.0304000000000000;353;1
Jiráskova, Litvínov;Litvínov;13.618560000000000;50.599529500000003;Kaufland Èeská republika, v.o.s.;OD Kaufland Litvínov;1314.0637000000002000;771;3
