X,Y,NAZEV,ULICE_x,OBEC_x,ICOFIR,FIRMA40A
15.274116578483266,49.694367702306415,,Tyršovo nábřeží 596,Ledeč nad Sázavou,685976,"Billa, s.r.o."
15.226671433328196,49.429485090069804,,Průběžná 2271,Pelhřimov,685976,"Billa, s.r.o."
15.817064951299111,50.431939229911187,,Legionářská 2989,Dvůr Králové nad Labem,685976,"Billa, s.r.o."
14.260705544561173,49.924885536541659,,Pražská 459,Lety,685976,"Billa, s.r.o."
17.651478342694801,49.025047707941589,,Pořádí 2283,Uherský Brod,685976,"Billa, s.r.o."
14.261338582694455,50.419589874204085,,Kratochvílova 2658,Roudnice nad Labem,685976,"Billa, s.r.o."
14.557027556780302,50.769921673362774,,U Vodárny 823,Nový Bor,685976,"Billa, s.r.o."
14.824488127748943,50.285774057408638,,Platanová 596,Benátky nad Jizerou,685976,"Billa, s.r.o."
13.802895761245495,50.356240875913066,,Komenského náměstí 2771,Louny,685976,"Billa, s.r.o."
17.536120502007403,49.206828344119579,,nám. 3. května 1301,Otrokovice,685976,"Billa, s.r.o."
14.088823669705254,50.143381270127456,,Čs. armády 3189,Kladno,685976,"Billa, s.r.o."
14.419903305562038,49.223892367486002,,Horní Brašov 759,Týn nad Vltavou,685976,"Billa, s.r.o."
12.649037258130587,50.182501266476059,,Pionýrů 2025,Sokolov,685976,"Billa, s.r.o."
16.310869818021093,49.867438985065149,,Mařákova 1198,Litomyšl,685976,"Billa, s.r.o."
13.732630853594328,50.101072244069066,,nábř. Dr. Beneše 2509,Rakovník,685976,"Billa, s.r.o."
13.821373257275523,50.636573875835488,,Alejní 3198,Teplice,685976,"Billa, s.r.o."
15.19702994916393,50.023420776491633,,Seifertova 160,Kolín,685976,"Billa, s.r.o."
16.462055505748253,50.085967443707638,,Divišova 1500,Žamberk,685976,"Billa, s.r.o."
17.667421351384878,49.235728558859513,,Okružní 5290,Zlín,685976,"Billa, s.r.o."
15.789764684032276,49.948850155126955,,Rooseveltova 46,Chrudim,685976,"Billa, s.r.o."
17.668156937990709,49.226461072520863,,náměstí Míru 174,Zlín,685976,"Billa, s.r.o."
13.642956369899814,50.515814047640482,,Chomutovská 1316,Most,685976,"Billa, s.r.o."
14.899846406391273,49.709740909895736,,Vlasákova 1830,Vlašim,685976,"Billa, s.r.o."
14.557631770046868,50.047698854146731,,Hornoměcholupská 492,Praha,685976,"Billa, s.r.o."
12.63411693945636,49.798752697905769,,Mánesova 2159,Tachov,685976,"Billa, s.r.o."
18.357064967160508,49.677996210009347,,Staroměstská 3290,Frýdek-Místek,685976,"Billa, s.r.o."
14.060849890960336,50.511463856653165,,Terezínská 1120,Lovosice,685976,"Billa, s.r.o."
15.353718347814857,49.542697156904048,,Na Kasárnách 1632,Humpolec,685976,"Billa, s.r.o."
15.20932406828434,50.02570909675169,,Rorejcova 906,Kolín,685976,"Billa, s.r.o."
12.506121192884024,50.330701786100107,,Resslova 1810,Kraslice,685976,"Billa, s.r.o."
14.572105284895459,50.00486492892616,,Obchodní 113,Čestlice,685976,"Billa, s.r.o."
14.742212435059368,50.15628644413863,,Sokolovská 1959,Čelákovice,685976,"Billa, s.r.o."
18.436152897865504,49.877848586695734,,F. S. Tůmy 1331,Orlová,685976,"Billa, s.r.o."
14.05933375902622,49.957260621471093,,Plzeňská 230,Beroun,685976,"Billa, s.r.o."
14.915447548650537,50.420260297053467,,tř. Václava Klementa 1459,Mladá Boleslav,685976,"Billa, s.r.o."
17.585963906163389,49.328489095504402,,Masarykova 1612,Holešov,685976,"Billa, s.r.o."
14.008634820692775,49.686303033208524,,Milínská 134,Příbram,685976,"Billa, s.r.o."
15.776441173875094,50.037942849218197,,náměstí Republiky 1400,Pardubice,685976,"Billa, s.r.o."
14.366341982382801,49.446408644925249,,Nádražní 1514,Milevsko,685976,"Billa, s.r.o."
14.520715492194892,50.253792384795773,,Kojetická 1022,Neratovice,685976,"Billa, s.r.o."
13.287604326199325,49.398615370988772,,Nádražní 172,Klatovy,685976,"Billa, s.r.o."
14.688262384396692,49.783432377156522,,Vnoučkova 1699,Benešov,685976,"Billa, s.r.o."
15.812751077292207,49.049732830610196,,Husova 398,Moravské Budějovice,685976,"Billa, s.r.o."
24.835080909714836,-59.948510465110843,,Husova 452,Vysoké Mýto,685976,"Billa, s.r.o."
13.414455752885624,50.233947409482255,,Žatecká 987,Podbořany,685976,"Billa, s.r.o."
13.220242550530307,49.71663674579144,,Benešova třída 1304,Nýřany,685976,"Billa, s.r.o."
14.585854546514808,49.904034112175793,,Ringhofferovo náměstí 550,Kamenice,685976,"Billa, s.r.o."
17.729519747936578,49.551473619914496,,Studentská 1926,Hranice,685976,"Billa, s.r.o."
16.283407610150711,50.157782432473866,,Hrdinů odboje 1606,Rychnov nad Kněžnou,685976,"Billa, s.r.o."
